date;obs_start;obs_end;cn_avr;cn_var
2020-04-04;2.4.2020;6.4.2020;3.5568136716116445;17.538715723922415
2020-05-08;6.5.2020;11.5.2020;4.277026608778345;18.51411014786892
2020-06-19;17.6.2020;22.6.2020;5.309943962414512;34.02246232236847
2020-08-17;15.8.2020;19.8.2020;7.7889179927734675;128.30930022105284
2020-09-28;26.9.2020;30.9.2020;5.653692756370299;76.4358733284356
2020-11-05;3.11.2020;9.11.2020;5.374090936129153;84.30614129534179
2020-11-25;22.11.2020;28.11.2020;2.8824222967179205;21.839885032255957
2020-12-19;16.12.2020;22.12.2020;2.960164221110854;16.665593958571627
2021-01-25;22.1.2021;28.1.2021;3.7356137613857068;32.67382397861799
2021-02-22;19.2.2021;25.2.2021;3.496161046878658;38.39150653645145
2021-03-27;24.3.2021;30.3.2021;2.3330332746192157;5.398823863914955
2021-04-26;23.4.2021;29.4.2021;3.2107248766956755;17.854796183838232
